category,question,answer,source_url
Payments,How is Jupiter not charging the Rs. 250-750 Penalty? Is there any catch or fine-print?,"When your SIP autopay mandate fails due to insufficient balance, you have to pay a penalty. AMCs don’t
            charge this penalty – banks do. Each bank would have their own penalty charge for not maintaining sufficient
            funds for the Electronic Clearing Service (ECS) mandate to go through. This penalty ranges from 250-750. At
            Jupiter, because you bank and invest on the same app, we smartly pause your SIP for the current month when
            your Jupiter balance is low. No charges, ever",https://jupiter.money/mutual-funds/
General,Do you mean I don’t get same day’s NAV elsewhere?,"Most Mutual Fund investment platforms may take a few working days to allocate units after you place an
            order. During this time the NAV can change. On Jupiter, you’re allotted units as per the NAV you see on the
            app (if you invest before 2 PM on working days).",https://jupiter.money/mutual-funds/
Payments,What is Digital Gold on Jupiter?,"Digital Gold on Jupiter allows you to buy and sell 24K gold online at live market prices, starting from as
            low as ₹10. It’s 100% digital and secure with no making charges.",https://jupiter.money/digi-gold/
Investments,How is my Digital Gold stored?,"Every gram of Digital Gold you purchase is stored as 24K physical Gold in lifetime-free vaults by our
            trusted partners.",https://jupiter.money/digi-gold/
Investments,Can I start investing in Gold with just ₹10?,"Yes, you can purchase 24K Digital Gold with just ₹10 or more. You can either make a one-time investment or
            invest regularly with daily, weekly, and monthly SIPs.",https://jupiter.money/digi-gold/
Investments,Can I sell my Digital Gold anytime?,"Yes, you can instantly sell your Digital Gold at live market prices from the Jupiter app.",https://jupiter.money/digi-gold/
Investments,Can I get physical delivery of the gold?,"Currently, Jupiter offers only digital storage of gold. Physical delivery is not available.",https://jupiter.money/digi-gold/
Investments,How is the price of Digital Gold determined?,Prices are updated live and reflect the current market rate of 24K gold with no making charges.,https://jupiter.money/digi-gold/
Investments,Why should I invest in Digital Gold?,"Digital Gold lets you invest in 24K pure gold without worrying about storage or safety. Unlike traditional
            options, you can start small, track your gold value in real time, and sell it anytime you want. It’s a smart
            way to grow your savings and with Jupiter, the process is completely digital.",https://jupiter.money/digi-gold/
Investments,Can I set up automatic investments in Digital Gold?,"Yes, you can set up a daily, weekly, or monthly SIP to auto-invest in Digital Gold. You can also set up
            Magic Spends, a feature exclusively on Jupiter, to auto-invest in Gold every time you spend.",https://jupiter.money/digi-gold/
Payments,"What types of loans can I get on
            Jupiter?","You can choose from the following loan options:Personal Loan -Up to ₹5,00,000Mini Loan -Up to ₹1,00,000Loan against Mutual Funds -Up to ₹50,00,000",https://jupiter.money/loan/
Payments,Who can apply for a Personal Loan on Jupiter?,"To apply for a Personal Loan, you must:Be an Indian residentBe 21 to 60 years oldBe either salaried, business owner, or self-employed",https://jupiter.money/loan/
Payments,"What are the interest rates
            applicable on loans with Jupiter?",Personal Loans start at 1.33% per monthMini Loans have 0% interest (If repaid in 45 days)Loans against Mutual Funds start at 10.5% per annum,https://jupiter.money/loan/
Loans,"Is the loan application process
            fully digital?","Yes, the entire process, from checking eligibility to receiving funds, is 100% digital on the Jupiter app.",https://jupiter.money/loan/
Payments,"How do I apply for a loan on
            Jupiter?",Check your eligibilitySelect your preferred loan optionConfirm the loan detailsGet money instantly in your account,https://jupiter.money/loan/
Payments,"Will I get reminders for my EMI
            payments?","Yes, Jupiter sends timely EMI reminders so you never miss a due date.",https://jupiter.money/loan/
General,Is there any support if I face issues?,"Yes, you get 24x7 support from our team via the Jupiter app.",https://jupiter.money/loan/
Loans,What can I use my loan for?,"The loans are flexible and can be used for any purpose, including:Laptop or phone purchaseMedical expensesTravel, wedding, or home renovationDebt consolidation or emergencies",https://jupiter.money/loan/
Loans,What is a loan against mutual funds?,"A Loan Against Mutual Funds lets you borrow money by pledging your Mutual Funds. On Jupiter, you can get a
            Loan Against Mutual Funds of up to ₹2 Crore.",https://jupiter.money/loan-against-mutual-funds/
General,How much money can I borrow?,Your loan limit will depend on the amount and type of Mutual Funds in your portfolio.,https://jupiter.money/loan-against-mutual-funds/
Payments,Can I choose any date for my monthly loan repayment?,You can repay the principal amount anytime within 36 months and the interest in 12 EMIs,https://jupiter.money/loan-against-mutual-funds/
General,Do I need to pay interest on the whole amount I am eligible for?,"No, you pay monthly interest only on the withdrawn amount out of the total credit limit given to you.",https://jupiter.money/loan-against-mutual-funds/
Investments,What is lien marking/pledging of Mutual Funds?,"When you take a Loan Against Mutual Funds, your funds will be lien marked. This means, the lender has the
            right to hold your units and sell them in case the loan isn't repaid. However, your funds will continue
            earning returns and will be redeemable once the loan is fully repaid.",https://jupiter.money/loan-against-mutual-funds/
Loans,Which mutual fund schemes are accepted or can be pledged to take loans?,"Your loan limit can be up to 75% of the Net Asset Value (NAV) of your Debt Mutual Funds, and 45% of the NAV
            of Equity Mutual Funds. For example, if you have invested ₹3 Lakh in Debt Mutual Funds and ₹1 Lakh in Equity
            Mutual Funds, your available loan limit will be(75% of ₹3 Lakhs) + (45% of ₹1 Lakh) = ₹2.70 Lakh",https://jupiter.money/loan-against-mutual-funds/
Limits,How do I check my limit?,You can check your limit on the Jupiter app,https://jupiter.money/loan-against-mutual-funds/
Investments,Can I pledge any Mutual Fund?,"Yes, you can pledge any eligible Mutual Fund. You can also choose the number of units you want to pledge.",https://jupiter.money/loan-against-mutual-funds/
Investments,When can I redeem the Mutual Funds I have pledged?,Your Mutual Funds will be redeemable once your loan is fully repaid,https://jupiter.money/loan-against-mutual-funds/
Loans,What is the tenure of the loan against mutual funds?,You can repay the principal amount in up to 36 months and the interest in 12 EMIs,https://jupiter.money/loan-against-mutual-funds/
Limits,What is the credit limit and how is it calculated?,"Your credit limit is calculated based on the value of your Mutual Funds portfolio Link to doc: LAMF Landing
            Page & SEO Requirements",https://jupiter.money/loan-against-mutual-funds/
Payments,How do I earn Jewels on Jupiter?,"You earn Jewels when you spend using Jupiter—whether it’s with UPI, your debit card, or linked credit cards.5 Jewels = 1 Rupee",https://jupiter.money/rewards/
Rewards,What can I redeem Jewels for?,You can choose from the following loan options:Digital GoldCash creditsGift vouchersBill paymentsCredit card discounts,https://jupiter.money/rewards/
Payments,How fast can I redeem Jewels on Jupiter?,"Yes, you can redeem the Jewels instantly. You can convert them to cash, gold, vouchers or use them to get
            discounts on bill payments.",https://jupiter.money/rewards/
Rewards,"Do I get extra rewards with
            linked accounts or cards?",Yes! For example:PRO Savings Account users get 1% cashbackEdge CSB Bank RuPay Card users get 2% cashbackLinking any RuPay credit card earns you up to 2% cashback on UPI and spends,https://jupiter.money/rewards/
Rewards,Do the earned Jewels expire?,"Your Jewels are safe and redeemable directly on the Jupiter app. Expiry terms, if any, are clearly shown
            under your rewards dashboard.",https://jupiter.money/rewards/
Loans,What is a home loan amortisation schedule?,"A home loan amortisation schedule is a detailed breakdown of your monthly loan payments over the entire loan term, showing how much goes towards interest and how much towards reducing the principal loan amount.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,Is a home loan EMI calculator accurate?,Home Loan EMI calculators are generally very accurate but should be used as an estimate. The actual EMI might differ slightly due to factors like rounding and processing fees.,https://jupiter.money/calculators/home-loan-emi-calculator/
Payments,Is it free to use Jupiter's home loan EMI Calculator?,"Yes, Jupiter's Home Loan EMI Calculator is completely free to use.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,Is GST applicable to home loan EMI?,"No, GST is not applicable to the EMI amount itself. However, GST might be levied on processing fees or other charges associated with the home loan.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,What is the eligibility criteria for getting a home loan?,"Eligibility criteria vary by lender but generally consider your income, credit score, employment status, and down payment amount.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,What happens if the home loan EMI is not paid?,"Late or missed EMI payments can damage your credit score and lead to late payment penalties. In severe cases, the lender may repossess the property.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,Does home loan EMI change with the increase in home loan interest rates?,"No, your EMI amount typically remains fixed for the entire loan term with a fixed interest rate. However, with adjustable-rate mortgages, your EMI can fluctuate if the interest rate changes.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,What are the different types of home loans available?,"Several home loan types exist, including fixed-rate, adjustable-rate, and special programs for first-time homebuyers.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,Is it possible to change my home loan EMI amount during the loan tenure?,"Yes, your EMI can change in some cases, such as with adjustable-rate mortgages or if you make additional principal payments.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,What are the tax benefits of paying home loan EMIs?,"In many countries, you can deduct a portion of the interest paid on your home loan from your taxable income.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,What is the EMI for a 20 Lakh home loan?,"Use a home loan EMI calculator to estimate your EMI for a specific loan amount, interest rate, and loan term.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,How to pay extra EMI for home loan?,Most lenders allow you to make additional principal payments towards your home loan. Contact your lender to learn about their specific process.,https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,When does home loan EMI start for under construction property?,"For under-construction properties, EMI payments often start after construction is complete and the property is ready for possession. There might be a pre-EMI interest charged during the construction phase.",https://jupiter.money/calculators/home-loan-emi-calculator/
Cards,Can I pay home Loan EMI through credit card?,"Generally, paying your home loan EMI through a credit card is not advisable due to high credit card interest rates. Additionally, not many lenders offer this option.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,Can we stop home loan EMI for a few months?,"Most lenders don't offer the option to completely stop EMI payments. However, some might offer loan modification programs that could temporarily reduce your EMI amount.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,How to reduce EMI of existing home loan?,"There are ways to potentially reduce your EMI, such as refinancing your loan at a lower interest rate or making a larger down payment.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,When does my home loan EMI start?,"The start of your EMI payments typically depends on the loan type and property status. For already constructed properties, EMIs usually begin one month after loan disbursal.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,What is a pre-EMI interest on a home loan?,Pre-EMI interest is the interest charged on the disbursed loan amount during the construction period of an under-construction property.,https://jupiter.money/calculators/home-loan-emi-calculator/
Payments,How does your home loan repayment work?,Your home loan repayment consists of monthly payments that include both principal and interest. The portion towards principal increases and the interest portion decreases over time.,https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,How much home loan am I eligible for?,"The maximum home loan amount you can qualify for depends on several factors, including your income, credit score, existing debts, and the lender's policies. Use a home loan eligibility calculator to get a starting estimate.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,Are there any hidden fees associated with a home loan?,"While the base interest rate is crucial, there can be additional charges like processing fees, valuation charges, and legal and documentation charges.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,How much is 10 lakh home loan EMI?,"The EMI for a loan amount of ₹ 10 lakh will be ₹7,867 for a tenure of 30 years OR ₹12,533 for 10 years at 8.75% rate of interest. An EMI on a loan amount of Rs. 10 Lakh will be dependent on the number of  years the loan is taken for and the rate of interest set by the Banks or financial institutions.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,How much is 20 lakh home loan EMI?,"The EMI for a loan amount of ₹ 20 lakh will be ₹15,734 for a tenure of 30 years OR ₹25,065 for 10 years at 8.75% rate of interest. An EMI on a loan amount of Rs. 20 Lakh will be dependent on the number of  years the loan is taken for and the rate of interest set by the Banks or financial institutions.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,How much is 30 lakh home loan EMI?,"The EMI for a loan amount of ₹ 30 lakh will be ₹23,601 for a tenure of 30 years OR ₹37,598 for 10 years at 8.75% rate of interest. An EMI on a loan amount of Rs. 30 Lakh will be dependent on the number of  years the loan is taken for and the rate of interest set by the Banks or financial institutions.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,How much is 40 lakh home loan EMI?,"The EMI for a loan amount of ₹ 40 lakh will be ₹31,468 for a tenure of 30 years OR ₹50,131 for 10 years at 8.75% rate of interest. An EMI on a loan amount of Rs. 40 Lakh will be dependent on the number of  years the loan is taken for and the rate of interest set by the Banks or financial institutions.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,How much is 50 lakh home loan EMI?,"The EMI for a loan amount of ₹ 50 lakh will be ₹40,231 for a tenure of 30 years OR ₹62,663 for 10 years at 8.75% rate of interest. An EMI on a loan amount of Rs. 50 Lakh will be dependent on the number of  years the loan is taken for and the rate of interest set by the Banks or financial institutions.",https://jupiter.money/calculators/home-loan-emi-calculator/
Loans,How are Personal Loan EMIs paid?,Personal Loan EMIs are typically paid through auto-debit from your linked bank account.,https://jupiter.money/calculators/personal-loan-emi-calculator/
Loans,How can I reduce my Personal Loan EMI?,You can reduce your EMI by increasing the loan tenure or by making prepayments.,https://jupiter.money/calculators/personal-loan-emi-calculator/
Loans,Is collateral required for a Personal Loan?,"No, Personal Loans are generally unsecured loans, meaning they don't require collateral.",https://jupiter.money/calculators/personal-loan-emi-calculator/
Loans,Does the EMI amount remain fixed throughout the loan tenure?,"Yes, the EMI amount remains fixed throughout the loan tenure.",https://jupiter.money/calculators/personal-loan-emi-calculator/
Payments,How can I avail a Personal Loan with low interest rates on Jupiter?,"If you have a Salary Account on the Jupiter App, your eligibility for a Personal Loan with low interest rates will depend on factors like your credit score and account history. If you don't have a Salary Account, you can increase your chances by having two continuous salary credits.",https://jupiter.money/calculators/personal-loan-emi-calculator/
Payments,What is the eligibility for a Personal Loan on Jupiter?,"Eligibility for a Personal Loan on Jupiter depends on factors like your credit score, income, and account history. Please refer to our main eligibility page for more details.",https://jupiter.money/calculators/personal-loan-emi-calculator/
Payments,What is the Personal Loan interest rate on Jupiter?,The Personal Loan interest rate on Jupiter ranges from 16% to 28% Annual Percentage Rate. The actual rate varies based on multiple factors. Please reach out to the Jupiter team for more information. Processing fees are up to 3% + GST.,https://jupiter.money/calculators/personal-loan-emi-calculator/
General,What do I need to know to use the salary calculator?,"You should only know your gross salary and total bonus. Once you provide the data, the calculator will show the other relevant salary components in no time.",https://jupiter.money/calculators/salary-calculator/
General,How does the calculator determine the basic pay?,It calculates the basic salary as a percentage of the CTC. You may change the percentage based on your requirements.,https://jupiter.money/calculators/salary-calculator/
General,Can I find the TDS on the salary calculator?,You cannot find the TDS on salary calculator separately. You can easily find the TDS amount on your salary slip.,https://jupiter.money/calculators/salary-calculator/
General,Does the salary calculator show the deductions?,"Yes, the calculator shows the professional tax and provident fund deductions. It also reflects the total deductions.",https://jupiter.money/calculators/salary-calculator/
General,How much gratuity amount is deducted from salary?,Most companies deduct around 4.81% of your salary (This includes your Basic salary + Dearness Allowance),https://jupiter.money/calculators/salary-calculator/
General,What are the main components of salary structure?,"The main components of a salary structure include basic salary, HRA, DA, conveyance, medical allowance, special allowance, provident fund, professional tax, and bonuses.",https://jupiter.money/calculators/salary-calculator/
General,Does CTC include PF?,"Yes, CTC (Cost to Company) typically includes PF (Provident Fund) as part of the total compensation package, along with other benefits like bonuses and allowances.",https://jupiter.money/calculators/salary-calculator/
General,How do I know the break-up of my salary?,"You can find the breakdown of your salary on your salary slip or pay statement, which typically lists components like basic salary, allowances, deductions (e.g., PF and taxes), and bonuses. Your HR department can also provide detailed information.",https://jupiter.money/calculators/salary-calculator/
